Data;ALPA4;AMAR3;ARZZ3;BBAS3;BBDC3;BBDC4;BOVA11;CAML3;CMIG4;COGN3;CPFE3;CPLE6;CSMG3;CSNA3;CYRE3;DTEX3;EGIE3;ENBR3;ENEV3;ENGI11;EQTL3;EQTL3;FESA4;FLRY3;GGBR4;GOAU3;GOLL4;GRND3;GUAR3;ITSA4;ITUB3;ITUB4;JHSF3;LREN3;MDIA3;MRVE3;MULT3;ODPV3;OFSA3;PARD3;QUAL3;RADL3;RENT3;SANB11;SAPR4;SBSP3;SEER3;SMTO3;TEND3;TRIS3;TRPL4;USIM3;VIVT4;VULC3;WEGE3;YDUQ3
2010-01-04;2,8176;9,6706;FALSO;17,1499;8,8807;11,4729;69,3700;FALSO;8,6764;FALSO;10,9484;24,1921;25,5869;16,0826;18,5818;8,9081;8,2953;5,3192;338,7000;7,7187;0,7590;0,7590;6,9642;5,4194;25,5586;25,9237;25,2505;0,8260;8,7969;4,1767;10,0327;13,3046;3,1003;6,6220;10,7552;8,0593;7,2464;3,8386;FALSO;FALSO;FALSO;8,5406;3,9322;16,5147;FALSO;6,8113;FALSO;4,3350;FALSO;1,7299;0,9874;24,8876;18,7359;24,4624;3,7960;FALSO
2010-01-05;2,8274;10,0474;FALSO;16,9778;8,7642;11,4215;69,9000;FALSO;8,8091;FALSO;10,8165;24,2238;25,5869;16,2313;18,4052;9,3077;8,3606;5,3602;333,9880;7,8300;0,7650;0,7650;6,8471;5,3894;25,9903;26,0160;25,0392;0,8388;9,1432;4,1632;10,0488;13,3909;3,0093;6,3835;10,7923;7,9538;7,2141;3,7645;FALSO;FALSO;FALSO;8,3331;3,9847;16,6746;FALSO;6,8213;FALSO;4,5707;FALSO;1,7299;0,9879;25,0438;18,6058;24,7560;3,7877;FALSO
2010-01-06;2,8200;10,0390;FALSO;17,0008;8,7125;11,3301;70,3000;FALSO;8,6432;FALSO;10,8885;24,3313;25,5869;16,2514;18,4282;9,5654;8,2761;5,4390;337,9640;7,7558;0,7569;0,7569;6,9950;5,5841;26,1630;25,6132;25,3273;0,8448;9,1295;4,1125;10,0488;13,2749;3,0837;6,2601;10,9114;8,0886;7,3109;3,8535;FALSO;FALSO;FALSO;8,4173;4,2952;16,5912;FALSO;6,8193;FALSO;4,5707;FALSO;1,6863;0,9832;25,1706;18,7750;24,4624;3,8084;FALSO
2010-01-07;2,8495;10,2818;FALSO;17,0065;8,6924;11,2996;70,0000;FALSO;8,5602;FALSO;10,7535;24,0973;24,0362;16,0797;18,0750;9,5181;8,3299;5,4784;350,4810;7,8522;0,7483;0,7483;7,2662;5,6020;25,5759;25,3446;25,5961;0,8328;8,8417;4,0889;9,9519;13,1389;3,1168;6,2025;10,8665;7,7956;7,2786;3,9098;FALSO;FALSO;FALSO;8,3602;4,1137;16,4730;FALSO;6,7110;FALSO;4,4913;FALSO;1,7244;0,9784;25,0535;18,6796;25,1474;3,8726;FALSO
2010-01-08;2,8789;10,7842;FALSO;17,1040;8,7039;11,2874;69,4800;FALSO;8,5519;FALSO;10,8885;24,1921;23,0360;16,4431;18,0443;9,5391;8,2607;5,5494;354,3100;7,7187;0,7595;0,7595;7,5189;5,7158;25,5068;25,5880;26,8346;0,8328;8,7570;4,0585;9,8388;12,9399;3,1251;6,2354;10,7870;7,5669;6,9561;3,9305;FALSO;FALSO;FALSO;8,5075;4,1520;16,3061;FALSO;6,8234;FALSO;4,6309;FALSO;1,7353;0,9585;25,3755;18,4974;25,1474;4,0135;FALSO
2010-01-11;2,8801;10,9600;FALSO;17,2360;8,6753;11,2966;69,9900;FALSO;8,5464;FALSO;11,1435;24,5716;22,7181;16,7664;18,2209;9,4655;8,1184;5,6486;352,2480;7,6444;0,7578;0,7578;7,6421;5,7637;25,5241;25,7223;26,9114;0,8422;8,7558;4,0450;9,6934;12,8271;3,2325;6,3506;10,9644;7,6666;6,8185;3,8535;FALSO;FALSO;FALSO;8,7361;4,1742;16,4799;FALSO;6,8735;FALSO;4,8016;FALSO;1,7951;0,9660;25,3951;18,4627;24,9517;3,9679;FALSO
2010-01-12;2,8801;11,0353;FALSO;17,0926;8,7183;11,3301;69,7000;FALSO;8,5879;FALSO;11,2184;25,0586;22,4854;16,4545;18,5204;9,8809;8,1108;5,8331;358,2860;7,7187;0,7531;0,7531;7,6051;5,8685;25,3427;25,2188;26,4026;0,7920;8,7197;4,0450;9,7903;12,7077;3,2573;6,4987;10,9909;7,7956;6,8056;3,7343;FALSO;FALSO;FALSO;8,7782;4,2952;16,5078;FALSO;6,7411;FALSO;4,7728;FALSO;1,7924;1,0463;24,6339;18,4627;24,9517;4,0590;FALSO
2010-01-13;2,9154;11,1860;FALSO;17,3105;8,7757;11,3910;70,0000;FALSO;8,6044;FALSO;11,1584;24,5906;22,0978;16,7378;18,2363;9,4602;8,0339;5,7401;357,8440;7,5702;0,7432;0,7432;7,4696;5,8835;25,4636;25,4286;26,6810;0,8005;8,6997;4,0315;9,7871;12,7476;3,2491;6,5727;11,0995;7,6842;6,7303;3,7230;FALSO;FALSO;FALSO;8,9917;4,3194;16,6190;FALSO;6,8173;FALSO;4,6645;FALSO;1,8223;1,0490;24,8779;18,3066;24,9517;3,9348;FALSO
2010-01-14;2,9156;11,3452;FALSO;17,0639;8,6609;11,1473;69,5000;FALSO;8,4081;FALSO;11,1074;24,1985;21,7101;16,8808;18,0674;9,0501;7,9954;5,7858;349,1550;7,6815;0,7227;0,7227;7,4881;5,9883;25,4377;25,4286;25,7401;0,7818;8,7072;3,9741;9,6126;12,5718;3,1416;6,4263;11,2796;7,7604;6,8164;3,7556;FALSO;FALSO;FALSO;8,9917;4,3295;16,1670;FALSO;6,7230;FALSO;4,5250;FALSO;1,8359;1,0440;24,7608;18,3760;24,9517;3,9120;FALSO
2010-01-15;2,9279;11,1358;FALSO;16,7771;8,4659;10,9889;68,5000;FALSO;8,2698;FALSO;10,9575;23,8443;20,7409;16,5260;17,8447;8,9922;7,8609;5,8173;351,9530;7,7409;0,7171;0,7171;7,4942;5,9014;24,9110;25,4286;25,1545;0,8064;8,5951;3,8762;9,6611;12,3595;3,1168;6,1992;11,0439;7,6197;6,8378;3,7290;FALSO;FALSO;FALSO;8,9586;4,2932;15,9237;FALSO;6,7210;FALSO;4,4384;FALSO;1,8631;1,0459;24,7608;18,3629;24,4624;3,8954;FALSO
2010-01-18;2,9646;11,4121;FALSO;16,7828;8,5462;11,0864;68,9000;FALSO;8,1039;FALSO;10,7985;23,6672;20,5393;16,5947;17,6450;8,8029;7,8801;5,8079;349,7440;7,7187;0,7210;0,7210;7,5558;5,9434;24,7815;26,0160;25,4521;0,8167;8,8318;3,9133;9,6611;12,4690;3,1664;6,2601;11,1233;7,6783;6,8809;3,6460;FALSO;FALSO;FALSO;8,8082;4,4263;15,9932;FALSO;6,5485;FALSO;4,6309;FALSO;1,9311;1,0331;24,8096;18,2112;24,4624;3,8768;FALSO
